year,row_count
2010,3158
2011,407956
2012,663406
2013,1067633
2014,1069606
2015,503252
2016,596807
2017,1048158
2018,2619968
2019,6217004
2020,2415597
2021,2860091
2022,2922805
2023,2622331
2024,1067623
