year,station_id,station_name,station_lat,station_lon,station_address
2015,59,Coronel Díaz,-34.5902244780447,-58.411495316773994,Güemes 3328 y Coronel Diaz
2015,94,Guzmán,-34.5918191166975,-58.449442063758795,Guzmán y Leiva
2015,52,Sánchez de Bustamante,-34.6070890121579,-58.4146677521709,Sánchez de Bustamante y Perón Juan
2015,95,Esmeralda,-34.6020919024436,-58.3781735400286,Esmeralda 510
2015,31,Padilla,-34.603162361388605,-58.439709218240296,Padilla y Warnes Av
2015,74,Instituto Leloir,-34.604571775755,-58.434242799113996,"Av. Patricias Argentinas 401, entre Juana de Ibarbourou y Av. Machado"
2015,82,Hospital Italiano,-34.607429501613005,-58.4262666390011,Rawson entre Potosí y Díaz Vélez
2015,54,Acuña de Figueroa,-34.5982221815643,-58.4217046052783,Lavalle y Acuña de Figueroa
2016,55,Bouchard,-34.599337457664106,-58.369621708680604,Viamonte 101 y Bouchard
2016,99,Malabia,-34.5962805421679,-58.43561548726729,Malabia 780 y Loyola
2016,66,Billinghurst,-34.5946291440332,-58.41385892691,De la Cárcova 3508
2016,84,Lavalle,-34.6022901190225,-58.3954716595379,Ayacucho 595 entre Tucumán y Lavalle
2016,70,Aráoz,-34.592672511996795,-58.425816435958296,Aráoz 1413 entre Gorriti y Honduras
2016,72,Venezuela,-34.613650393454996,-58.3745525014373,Perú 490 y Venezuela
2016,64,Riobamba,-34.5941490349228,-58.394439682611704,Riobamba y Juncal
2016,69,Ecuador,-34.5958623506374,-58.4043560649594,Ecuador 1200 y Mansilla
2016,61,Ministerio de Economía,-34.6090860400313,-58.3708343749879,Balcarce 101 entre Av. Hipólito Yrigoyen y Alsina
2016,71,Cerrito,-34.6029957670657,-58.382842967720606,Av. Roque Saenz Peña 1149 entre Libertad y Cerrito
2016,85,Agüero,-34.5946161105705,-58.409034003474,Aguero y Mansilla
2016,91,Pasco,-34.6174914920679,-58.397547065967906,Pasco 708 entre Chile y Av Independencia
2016,80,Doblas,-34.6241295471149,-58.430319869395504,Doblas 608 y Valle
2016,63,Reconquista,-34.59946924973,-58.372723516254,Reconquista 716 y Av Córdoba
2016,88,Misiones,-34.6128670912616,-58.404230050846,Misiones entre Adolfo Alsina y Moreno
2016,47,Colegio Nacional Buenos Aires,-34.6107824192457,-58.3735574617984,Bolivar entre Adolfo Alsina y Moreno
2016,96,Carlos Gardel,-34.602891143934,-58.4115848948388,Guardia Vieja 3302
2016,81,Balcarce,-34.6158474133672,-58.3708787659055,Balcarce 683 entre Chile y Defensa
2016,121,Yatay,-34.6008183886904,-58.428267593013494,Yatay 925 entre Humahuaca y Guardia Vieja
2016,115,Quintana,-34.5878120499245,-58.3907862838861,Manuel Quintana 600
2016,114,Della Paolera,-34.5947530965532,-58.3725350641629,Carlos M. Della Paolera 297 entre Leandro N Alem y Eduardo Madero
2016,98,Moreno,-34.6117139986102,-58.378121718966895,Moreno 834 entre Tacuarí y Piedras
2016,78,Suipacha y Arroyo,-34.5914156869824,-58.3803382442443,Arroyo y Suipacha
2016,50,Hospital Rivadavia,-34.5836773298631,-58.4011477812048,Lucena Pereyra 2516 entre Las Heras y Pagano
2016,67,Senillosa,-34.6385009158718,-58.425477470589,Senillosa 1905 y zañartú
2016,87,Guayaquil,-34.6198285372612,-58.431535896984606,Guayaquil 213 y Doblas
2016,86,Saavedra,-34.621356081357696,-58.401720369330704,Saavedra 1027 entre Carlos Calvo Y Humberto 1º
2016,49,Treinta y Tres Orientales,-34.6288173658193,-58.422422403807204,Constitución 4101 y Treinta y Tres Orientales
2016,166,Cementerio de la Recoleta,-34.5891497441135,-58.3933174506005,Vicente López 2050 entre Junín y Uriburu
2016,97,Avelino Díaz,-34.6352502807008,-58.4274014111176,Avelino Díaz 499 y Doblas
2016,79,Azucena Villaflor,-34.611720675269396,-58.3639690795297,Azucena Villaflor y Pierina Dealessi
2016,150,Vera Peñaloza,-34.6180820211727,-58.363090509170895,Rosario Vera Peñaloza y Olga Cossettini
2016,120,Hospital Ramos Mejía,-34.6175490894938,-58.409110475451705,"Agrelo entre  Gral. Urquiza, y Gral. La Rioja"
2016,118,México,-34.6168125831672,-58.4028266768832,Saavedra y México
2016,92,Salcedo,-34.6317246877284,-58.4050191499757,Salcedo 2908 y Dean Funes
2016,106,Rincón,-34.6151962004792,-58.3958974659054,Venezuela 2091 y Rincón
2017,151,Aimé Painé,-34.6118079128888,-58.360905798483,Azucena Villaflor 553 entre Calabria y Aimé Painé
