id,id_trip,year,id_user,origin_id,origin_date,destination_id,destination_date,distance,duration
55,,2010,,2BAEcobici,2010-12-30 16:56:00,3BAEcobici,2010-12-30 17:19:00,2.151658072860231,1380
56,,2010,,2BAEcobici,2010-12-30 16:55:00,3BAEcobici,2010-12-30 17:19:00,2.151658072860231,1440
57,,2010,,4BAEcobici,2010-12-30 16:55:00,2BAEcobici,2010-12-30 17:01:00,1.177505404647519,360
58,,2010,,3BAEcobici,2010-12-30 16:45:00,202BAEcobici,2010-12-30 17:11:00,3.6586040276952296,1620
59,,2010,,3BAEcobici,2010-12-30 16:41:00,2BAEcobici,2010-12-30 17:04:00,2.151658072860231,1380
60,,2010,,4BAEcobici,2010-12-30 16:40:00,2BAEcobici,2010-12-30 16:50:00,1.177505404647519,600
61,,2010,,202BAEcobici,2010-12-30 16:24:00,202BAEcobici,2010-12-30 17:38:00,0,4380
62,,2010,,202BAEcobici,2010-12-30 16:21:00,2BAEcobici,2010-12-30 16:31:00,1.7455454010861773,600
63,,2010,,3BAEcobici,2010-12-30 16:16:00,2BAEcobici,2010-12-30 18:53:00,2.151658072860231,9420
64,,2010,,3BAEcobici,2010-12-30 16:16:00,2BAEcobici,2010-12-30 16:29:00,2.151658072860231,780
65,,2010,,4BAEcobici,2010-12-30 16:11:00,4BAEcobici,2010-12-30 17:19:00,0,4080
66,,2010,,3BAEcobici,2010-12-30 16:06:00,3BAEcobici,2010-12-30 16:14:00,0,480
67,,2010,,3BAEcobici,2010-12-30 16:05:00,3BAEcobici,2010-12-30 16:13:00,0,480
68,,2010,,3BAEcobici,2010-12-30 16:04:00,2BAEcobici,2010-12-30 16:24:00,2.151658072860231,1200
69,,2010,,4BAEcobici,2010-12-30 15:59:00,4BAEcobici,2010-12-30 17:32:00,0,5580
70,,2010,,202BAEcobici,2010-12-30 15:50:00,202BAEcobici,2010-12-30 17:28:00,0,5940
71,,2010,,202BAEcobici,2010-12-30 15:49:00,202BAEcobici,2010-12-30 17:28:00,0,5940
72,,2010,,3BAEcobici,2010-12-30 15:47:00,4BAEcobici,2010-12-30 17:41:00,1.0252130332002447,6840
73,,2010,,2BAEcobici,2010-12-30 15:34:00,202BAEcobici,2010-12-30 15:42:00,1.7455454010861773,540
74,,2010,,3BAEcobici,2010-12-30 15:30:00,4BAEcobici,2010-12-30 16:13:00,1.0252130332002447,2580
75,,2010,,4BAEcobici,2010-12-30 15:23:00,4BAEcobici,2010-12-30 15:42:00,0,1140
76,,2010,,202BAEcobici,2010-12-30 15:16:00,2BAEcobici,2010-12-30 15:25:00,1.7455454010861773,540
77,,2010,,3BAEcobici,2010-12-30 15:15:00,2BAEcobici,2010-12-30 15:28:00,2.151658072860231,840
